                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.76913,                 9.6042,                      0,                 1.0649,                 1.0121,                0.58266,                0.53846,                0.62942,                0.49401,                      0,                      0,                      0,                      0,                0.80219,                 8.9244,                      0,                 1.1516,                 1.0353,              0.0013268,              0.0013268,              0.0013268
                     37,                0.74729,                 9.3754,                      0,                 1.0242,                 1.0175,                0.76321,                0.52137,                0.66571,                0.53041,                      0,                      0,                      0,                      0,                 0.7405,                 8.7066,                      0,                 1.1066,                      1,               0.001307,               0.001307,               0.001307
                     38,                0.77354,                 9.4642,                      0,                 1.0576,                  1.035,                0.74701,                0.50474,                 0.6764,                0.55698,                0.02057,                0.00855,                0.00053,                  5e-05,                0.70889,                 8.7475,                      0,                 1.0983,                 0.9784,              0.0012872,              0.0012872,              0.0012872
                     39,                 0.7171,                 9.2814,                      0,                0.96954,                0.99755,                0.77943,                0.51282,                0.66979,                0.54415,                 0.0206,                0.00855,                0.00064,                  6e-05,                0.70683,                 8.5831,                      0,                 1.1199,                0.98122,              0.0012674,              0.0012674,              0.0012674
                     40,                0.72983,                 9.2381,                      0,                0.98919,                 1.0017,                0.80827,                0.52137,                0.66995,                0.55503,                      0,                      0,                      0,                      0,                0.71816,                 8.6179,                      0,                 1.0868,                0.96858,              0.0012476,              0.0012476,              0.0012476
                     41,                0.72284,                 9.2132,                      0,                0.99773,                 1.0024,                0.84694,                0.52137,                0.68212,                0.55924,                      0,                      0,                      0,                      0,                0.71267,                 8.4934,                      0,                 1.0468,                0.98745,              0.0012278,              0.0012278,              0.0012278
                     42,                0.69576,                 9.0287,                      0,                0.97798,                0.98349,                0.78704,                0.52991,                0.67776,                0.56555,                0.01915,                0.00855,                0.00072,                  7e-05,                0.68073,                 8.4238,                      0,                 1.0865,                0.96952,               0.001208,               0.001208,               0.001208
                     43,                0.68062,                 9.0324,                      0,                0.95739,                 0.9809,                0.78456,                0.53846,                0.68537,                0.57558,                0.02909,                0.00855,                0.00153,                0.00015,                0.69049,                 8.4372,                      0,                 1.0736,                0.96192,              0.0011882,              0.0011882,              0.0011882
                     44,                 0.7233,                 8.9835,                      0,                 1.0085,                 1.0056,                0.71076,                0.51282,                0.63122,                0.51615,                      0,                      0,                      0,                      0,                0.73802,                 8.3525,                      0,                 1.1758,                0.98245,              0.0011684,              0.0011684,              0.0011684
                     45,                0.72289,                 8.9975,                      0,                0.97274,                 1.0161,                0.78184,                0.50427,                0.65866,                 0.5513,                      0,                      0,                      0,                      0,                0.67667,                  8.209,                      0,                 1.0819,                0.96015,              0.0011486,              0.0011486,              0.0011486
                     46,                0.68905,                 8.8072,                      0,                0.95664,                0.98562,                 0.7692,                0.53846,                0.65158,                0.53845,                0.02267,                0.00855,                0.00078,                  8e-05,                0.67169,                 8.1099,                      0,                 1.1034,                0.96619,              0.0011288,              0.0011288,              0.0011288
                     47,                0.68315,                 8.8665,                      0,                0.94038,                0.98773,                0.77383,                0.52641,                0.66737,                0.56455,                      0,                      0,                      0,                      0,                0.67718,                 8.0734,                      0,                  1.104,                0.96617,               0.001109,               0.001109,               0.001109
                     48,                0.67074,                 8.7986,                      0,                0.96814,                0.98786,                0.78335,                0.52991,                 0.6862,                0.56942,                      0,                      0,                      0,                      0,                0.69342,                 7.9956,                      0,                 1.0526,                0.97491,              0.0010892,              0.0010892,              0.0010892
                     49,                0.66727,                 8.7423,                      0,                0.94701,                0.98636,                0.74322,                0.54427,                0.66387,                0.54576,                 0.0171,                0.00855,                0.00067,                  7e-05,                0.70314,                 7.8031,                      0,                 1.0586,                0.97742,              0.0010694,              0.0010694,              0.0010694
                     50,                0.64758,                 8.5715,                      0,                0.86071,                0.96516,                0.81209,                0.52991,                 0.6609,                0.55359,                      0,                      0,                      0,                      0,                0.68101,                 7.9179,                      0,                 1.1019,                0.96844,              0.0010496,              0.0010496,              0.0010496
                     51,                0.68091,                 8.6895,                      0,                0.96632,                0.98788,                0.81637,                0.52137,                 0.6706,                0.55518,                      0,                      0,                      0,                      0,                 0.6945,                 7.6741,                      0,                 1.1099,                0.97392,              0.0010298,              0.0010298,              0.0010298
                     52,                0.66838,                 8.6514,                      0,                0.92069,                0.98535,                0.85424,                0.49573,                0.65759,                0.55153,                      0,                      0,                      0,                      0,                0.69742,                 7.8425,                      0,                 1.1488,                0.98318,                0.00101,                0.00101,                0.00101
                     53,                0.68329,                 8.4943,                      0,                0.91564,                0.97881,                0.81587,                0.49234,                0.65688,                0.55496,                      0,                      0,                      0,                      0,                0.66925,                 7.9296,                      0,                 1.1499,                 0.9539,              0.0009902,              0.0009902,              0.0009902
                     54,                0.65625,                 8.4792,                      0,                0.95317,                0.97667,                0.79471,                0.49632,                0.65613,                0.55084,                0.02042,                0.00855,                0.00073,                  7e-05,                0.66414,                 7.6094,                      0,                 1.0789,                0.95105,              0.0009704,              0.0009704,              0.0009704
                     55,                0.66757,                 8.5271,                      0,                0.91035,                0.97852,                0.74167,                0.52137,                0.65147,                0.54601,                0.05475,                0.01709,                0.00336,                0.00034,                 0.6807,                 7.5543,                      0,                 1.1549,                  0.966,              0.0009506,              0.0009506,              0.0009506
                     56,                0.62775,                 8.2973,                      0,                0.86087,                 0.9664,                0.78495,                0.53035,                0.66938,                0.57107,                0.05553,                0.01709,                0.00324,                0.00032,                0.65474,                 7.6276,                      0,                 1.1027,                0.95756,              0.0009308,              0.0009308,              0.0009308
                     57,                0.62634,                 8.2894,                      0,                0.91007,                0.95879,                0.76465,                0.50427,                0.65581,                0.55072,                0.02383,                0.00855,                0.00095,                0.00019,                0.68154,                 7.3886,                      0,                 1.0915,                0.96908,               0.000911,               0.000911,               0.000911
                     58,                 0.6464,                  8.295,                      0,                0.92419,                0.96794,                0.70021,                0.50427,                0.61598,                0.51725,                0.03295,                0.01709,                0.00195,                0.00019,                0.67269,                 7.4739,                      0,                 1.1393,                0.96588,              0.0008912,              0.0008912,              0.0008912
                     59,                0.64777,                 8.0784,                      0,                0.93001,                0.96561,                0.74428,                0.49573,                0.63283,                0.53626,                  0.102,                0.04274,                0.01255,                0.00126,                 0.6654,                 7.2226,                      0,                 1.0944,                0.96151,              0.0008714,              0.0008714,              0.0008714
                     60,                0.64158,                 8.0996,                      0,                0.94737,                0.95916,                0.80005,                0.50427,                0.65196,                0.56063,                0.04386,                0.01709,                0.00216,                0.00029,                0.64799,                 7.2229,                      0,                 1.1358,                0.94526,              0.0008516,              0.0008516,              0.0008516
                     61,                0.62567,                 8.2096,                      0,                0.88792,                0.95073,                0.80984,                0.51282,                0.66107,                0.57243,                0.04913,                0.01709,                0.00373,                0.00037,                0.63349,                 7.4469,                      0,                 1.1063,                 0.9416,              0.0008318,              0.0008318,              0.0008318
                     62,                0.60559,                 8.1006,                      0,                0.83548,                0.95442,                0.82505,                0.50427,                0.64837,                0.55561,                0.04791,                0.01709,                0.00415,                0.00041,                0.64862,                 7.4351,                      0,                 1.0931,                0.95918,               0.000812,               0.000812,               0.000812
                     63,                0.59805,                 7.9893,                      0,                0.84368,                0.94286,                0.78459,                 0.4981,                0.60818,                 0.5126,                0.06413,                0.03419,                0.01136,                 0.0017,                0.66038,                  7.165,                      0,                 1.1996,                0.97048,              0.0007922,              0.0007922,              0.0007922
                     64,                0.61765,                  7.914,                      0,                0.89988,                0.95383,                0.84298,                0.48718,                0.64539,                 0.5465,                0.03866,                0.01709,                0.00354,                 0.0005,                0.66484,                 7.1543,                      0,                 1.1092,                0.97276,              0.0007724,              0.0007724,              0.0007724
                     65,                0.62966,                 8.0019,                      0,                0.88201,                0.97613,                0.79779,                0.50427,                0.65331,                0.55647,                0.02262,                0.00855,                0.00171,                0.00024,                0.63971,                   7.14,                      0,                 1.1257,                0.95926,              0.0007526,              0.0007526,              0.0007526
                     66,                 0.6073,                 7.8416,                      0,                0.89052,                0.95192,                 0.8021,                0.45299,                0.63918,                0.53764,                0.17667,                0.05128,                0.02148,                0.00225,                0.66009,                  7.021,                      0,                 1.1328,                 0.9671,              0.0007328,              0.0007328,              0.0007328
                     67,                0.59511,                 7.7773,                      0,                0.84382,                0.96369,                0.76871,                0.51134,                0.64187,                0.54786,                0.02175,                0.03419,                0.00393,                0.00056,                0.65911,                 7.1631,                      0,                 1.1342,                 0.9554,               0.000713,               0.000713,               0.000713
                     68,                0.59137,                 7.7694,                      0,                0.86019,                0.95365,                0.80458,                0.49267,                 0.6289,                0.52714,                0.12574,                0.05128,                0.02148,                0.00232,                0.66272,                 7.0482,                      0,                 1.1504,                0.95737,              0.0006932,              0.0006932,              0.0006932
                     69,                0.60781,                 7.7058,                      0,                0.87074,                0.94628,                0.82233,                0.48718,                0.64353,                0.54267,                0.07756,                0.02564,                0.00878,                0.00195,                0.65791,                 6.9701,                      0,                 1.1581,                0.95506,              0.0006734,              0.0006734,              0.0006734
                     70,                0.60701,                 7.6763,                      0,                0.83985,                0.95479,                0.82599,                0.48718,                0.64559,                 0.5497,                0.07604,                0.02564,                0.00758,                0.00163,                0.65873,                 6.8327,                      0,                 1.1491,                 0.9463,              0.0006536,              0.0006536,              0.0006536
                     71,                0.58645,                 7.4958,                      0,                0.84476,                0.94628,                0.76804,                0.49573,                0.62835,                0.52995,                0.03987,                0.01709,                0.00392,                0.00097,                0.66905,                 6.9478,                      0,                 1.1637,                0.96362,              0.0006338,              0.0006338,              0.0006338
                     72,                0.62163,                 7.8018,                      0,                0.89674,                 0.9705,                0.78809,                0.47009,                0.64556,                0.54205,                0.12197,                0.04274,                0.02022,                0.00288,                0.67823,                 6.9607,                      0,                  1.158,                0.97684,               0.000614,               0.000614,               0.000614
                     73,                0.56753,                 7.5327,                      0,                0.84074,                0.94286,                0.77999,                0.48718,                0.63759,                0.54993,                0.08988,                0.03419,                0.01064,                0.00138,                0.66706,                 6.9094,                      0,                 1.1574,                0.95532,              0.0005942,              0.0005942,              0.0005942
                     74,                0.58926,                 7.6248,                      0,                0.86518,                0.94823,                0.81006,                0.47009,                0.63834,                0.53274,                0.09068,                0.03419,                0.01134,                0.00145,                0.69114,                 6.7752,                      0,                 1.1628,                0.97298,              0.0005744,              0.0005744,              0.0005744
                     75,                0.57366,                 7.5913,                      0,                0.85768,                0.93768,                0.77674,                0.51282,                0.64332,                0.54222,                0.15853,                0.05128,                0.03265,                0.00373,                0.67407,                 6.6543,                      0,                  1.155,                0.95649,              0.0005546,              0.0005546,              0.0005546
                     76,                0.59135,                 7.5908,                      0,                0.84287,                0.94665,                0.80176,                0.46154,                0.63133,                0.53435,                0.09472,                0.03419,                0.01149,                0.00217,                0.67168,                  6.804,                      0,                 1.1614,                0.95714,              0.0005348,              0.0005348,              0.0005348
                     77,                0.56626,                 7.3811,                      0,                0.84305,                0.93204,                0.77709,                0.47676,                0.64068,                0.54513,                0.18316,                0.06838,                0.02873,                0.00495,                0.63794,                 6.6371,                      0,                 1.1532,                0.94924,               0.000515,               0.000515,               0.000515
                     78,                0.58899,                  7.476,                      0,                 0.8534,                0.94526,                0.78893,                0.46154,                0.64224,                0.54272,                0.24085,                0.05983,                0.02433,                0.00385,                0.66433,                 6.6406,                      0,                 1.2308,                0.96312,              0.0004952,              0.0004952,              0.0004952
                     79,                0.56271,                 7.1744,                      0,                0.82711,                  0.924,                0.73594,                0.52137,                0.62566,                0.53297,                0.10082,                0.07692,                0.03313,                0.00404,                0.65593,                 6.6312,                      0,                 1.2421,                0.95816,              0.0004754,              0.0004754,              0.0004754
                     80,                0.57219,                 7.3319,                      0,                0.80989,                0.94305,                0.82351,                0.47856,                0.64838,                0.55012,                0.19625,                0.07692,                0.03466,                0.00464,                0.65703,                 6.6332,                      0,                 1.2198,                0.94664,              0.0004556,              0.0004556,              0.0004556
                     81,                0.56544,                 7.1991,                      0,                0.86608,                0.92393,                0.81872,                0.46324,                0.63462,                0.54539,                0.11582,                0.04274,                0.02012,                0.00291,                0.63314,                 6.6353,                      0,                 1.1562,                0.94807,              0.0004358,              0.0004358,              0.0004358
                     82,                0.55501,                 7.2066,                      0,                0.82915,                0.94473,                0.76931,                0.47863,                0.63591,                0.53962,                0.14125,                0.05983,                 0.0388,                0.00662,                0.63864,                 6.6037,                      0,                 1.1666,                0.94821,               0.000416,               0.000416,               0.000416
